[INFO ] 2019-11-02T08:30:55,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:55,497 [pool-1-thread-1] RPCClient - Startup took 179 msec
[INFO ] 2019-11-02T08:30:55,807 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:55,971 [pool-1-thread-1] RPCClient - Startup took 162 msec
[INFO ] 2019-11-02T08:30:58,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:58,520 [pool-1-thread-1] RPCClient - Startup took 201 msec
[INFO ] 2019-11-02T08:30:58,804 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:58,929 [pool-1-thread-1] RPCClient - Startup took 124 msec
[INFO ] 2019-11-02T08:31:01,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:01,474 [pool-1-thread-1] RPCClient - Startup took 155 msec
[INFO ] 2019-11-02T08:31:01,741 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:01,852 [pool-1-thread-1] RPCClient - Startup took 110 msec
[INFO ] 2019-11-02T08:31:04,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:04,455 [pool-1-thread-1] RPCClient - Startup took 137 msec
[INFO ] 2019-11-02T08:31:04,721 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:04,829 [pool-1-thread-1] RPCClient - Startup took 107 msec
[INFO ] 2019-11-02T08:31:07,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:07,510 [pool-1-thread-1] RPCClient - Startup took 191 msec
[INFO ] 2019-11-02T08:31:07,807 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:07,915 [pool-1-thread-1] RPCClient - Startup took 107 msec
[INFO ] 2019-11-02T08:31:10,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:10,526 [pool-1-thread-1] RPCClient - Startup took 208 msec
[INFO ] 2019-11-02T08:31:10,820 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:10,930 [pool-1-thread-1] RPCClient - Startup took 108 msec
[INFO ] 2019-11-02T08:31:13,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:13,500 [pool-1-thread-1] RPCClient - Startup took 181 msec
[INFO ] 2019-11-02T08:31:14,087 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:14,214 [pool-1-thread-1] RPCClient - Startup took 126 msec
[INFO ] 2019-11-02T08:31:16,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:16,470 [pool-1-thread-1] RPCClient - Startup took 151 msec
[INFO ] 2019-11-02T08:31:16,755 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:16,871 [pool-1-thread-1] RPCClient - Startup took 115 msec
[INFO ] 2019-11-02T08:31:19,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:19,470 [pool-1-thread-1] RPCClient - Startup took 151 msec
[INFO ] 2019-11-02T08:31:19,781 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:19,903 [pool-1-thread-1] RPCClient - Startup took 121 msec
[INFO ] 2019-11-02T08:31:22,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:22,444 [pool-1-thread-1] RPCClient - Startup took 125 msec
